Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Rainfall(mm),Snowfall (cm),Seasons,Holiday,hour diff,Functioning Day,rental_cnt
8,10.37,50,2.57,10000.0,0.41,0.0,0.0,1,1,55016.0,1,9253
18,3.28,93,1.03,4500.0,2.26,0.0,0.0,1,1,55122.0,1,11919
4,8.15,31,3.6,10000.0,-7.07,0.0,0.0,1,1,55012.0,1,463
11,6.16,81,2.57,10000.0,3.15,0.0,0.0,1,1,54899.0,1,4128
9,10.92,37,3.6,10000.0,-2.82,0.0,0.0,1,1,55089.0,1,5363
20,4.59,60,1.93,9150.339366515836,-2.21,0.0,0.0,1,1,54860.0,1,5535
2,8.52,69,7.72,10000.0,3.17,0.0,0.0,1,1,55202.0,1,807
3,9.17,40,3.6,10000.0,-3.29,0.0,0.0,1,1,54867.0,1,512
13,5.12,56,4.63,10000.0,-2.59,0.0,0.0,1,1,54901.0,1,4224
3,18.5,30,4.63,10000.0,0.62,0.0,0.0,1,1,55323.0,1,952
13,5.82,60,1.54,10000.0,-1.18,0.0,0.0,1,1,55069.0,1,4504
12,8.11,81,4.63,10000.0,5.05,0.26,0.0,1,1,55356.0,1,4095
10,5.35,49,1.03,10000.0,-3.98,0.0,0.0,1,1,55258.0,1,3782
21,5.08,56,4.63,10000.0,-2.62,0.0,0.0,1,1,55197.0,1,5313
6,11.04,74,5.66,3500.0,6.59,0.0,0.0,1,1,55446.0,1,2802
0,12.74,38,6.17,10000.0,-1.06,0.0,0.0,1,1,55344.0,1,2160
15,-1.37,80,0.51,10000.0,-4.03,0.0,0.0,1,1,54975.0,1,5778
10,6.78,57,5.14,10000.0,-1.0,0.0,0.0,1,1,55066.0,1,3828
11,3.63,61,6.17,10000.0,-2.82,0.18,0.0,1,1,54803.0,1,3155
16,1.55,64,1.03,10000.0,-4.0,0.0,0.0,1,1,55048.0,1,4995
10,21.09,52,2.57,10000.0,10.86,0.0,0.0,1,1,56194.0,1,5430
9,17.56,48,2.06,9000.0,6.44,0.0,0.0,1,1,55905.0,1,6645
13,14.61,63,1.54,10000.0,7.65,0.0,0.0,1,1,55573.0,1,4543
17,11.84,71,1.54,10000.0,6.76,0.0,0.0,1,1,55577.0,1,11149
9,17.67,52,4.12,10000.0,7.7,0.0,0.0,1,1,55593.0,1,6814
6,27.3,41,3.6,10000.0,12.91,0.0,0.0,1,1,56166.0,1,1507
17,10.64,91,1.45,9150.339366515836,9.23,0.0,0.0,1,1,55793.0,1,13693
17,11.92,70,2.91,9150.339366515836,6.63,0.0,0.0,1,1,55553.0,1,12405
18,10.65,50,4.12,10000.0,0.66,0.0,0.0,1,1,55722.0,1,16283
8,21.55,43,5.14,10000.0,8.45,0.0,0.0,1,1,55784.0,1,12342
12,15.26,82,2.57,10000.0,12.21,0.0,0.0,1,1,55788.0,1,6763
14,17.0,59,3.84,9150.339366515836,8.94,0.0,0.0,1,1,56030.0,1,6170
5,16.39,67,4.12,10000.0,10.25,0.23,0.0,1,1,56069.0,1,157
14,12.87,55,3.09,10000.0,4.06,0.0,0.0,1,1,55934.0,1,5707
13,12.13,91,1.02,9150.339366515836,10.71,0.0,0.0,1,1,55885.0,1,5054
14,15.7,77,0.51,10000.0,11.68,0.0,0.0,1,1,55838.0,1,8860
7,19.69,60,3.09,10000.0,11.72,0.0,0.0,1,1,55999.0,1,1824
