,Hour,dayofweek,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Rainfall(mm),Snowfall (cm),hour diff,isWeekend,Holiday,weather_Clouds,weather_Drizzle,weather_Dust,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Snow,weather_Thunderstorm,rental_cnt
594,11,3,28.29,69,3.6,10000.0,22.06,0.0,0.0,59123.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4784
595,15,6,26.5,100,0.51,8000.0,26.5,0.0,0.0,59031.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5372
596,5,4,30.86,74,4.12,10000.0,25.68,1.69,0.0,58469.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1842
597,20,5,26.29,100,1.54,10000.0,26.29,0.0,0.0,58508.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6112
598,12,3,28.38,89,0.51,10000.0,26.39,0.0,0.0,58788.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4476
599,19,0,26.13,89,2.06,10000.0,24.17,0.0,0.0,58555.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9357
600,8,4,32.87,62,2.57,10000.0,24.62,0.0,0.0,58808.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9130
601,11,0,28.79,84,1.54,10000.0,25.81,0.0,0.0,58883.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4149
602,4,5,32.28,62,3.09,10000.0,24.07,0.0,0.0,58660.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890
603,5,5,33.71,55,2.06,10000.0,23.41,0.0,0.0,58829.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1254
604,11,0,27.9,87,4.63,10000.0,25.53,1.25,0.0,58547.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4062
605,19,4,27.39,100,1.03,4500.0,27.39,0.0,0.0,58483.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9322
606,16,3,26.85,100,0.51,10000.0,26.85,0.0,0.0,58792.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5346
607,13,4,28.16,90,0.94,9150.339366515836,26.36,0.0,0.0,58813.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4261
608,21,6,26.06,97,3.09,10000.0,25.55,0.0,0.0,58869.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4692
609,4,0,28.83,79,2.06,8000.0,24.82,0.42,0.0,59044.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,797
610,18,5,26.77,100,1.54,10000.0,26.77,0.0,0.0,58842.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5891
611,18,0,26.16,94,3.09,10000.0,25.12,0.0,0.0,58554.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12401
612,6,5,30.5,66,1.03,8000.0,23.43,0.0,0.0,58998.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2061
613,8,4,30.99,89,4.12,10000.0,28.96,0.0,0.0,58472.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10502
614,15,6,26.5,100,0.51,8000.0,26.5,0.0,0.0,59031.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5372
615,19,1,27.07,100,1.54,10000.0,27.07,0.0,0.0,58747.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8479
616,19,4,27.39,100,1.03,4500.0,27.39,0.0,0.0,58483.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9322
